Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0015787, 0, 0, 1, 1, 1, 1, 1, 1
0.0015956, 0, 0, 1, 1, 1, 0, 1, 1
0.0016092, 0, 0, 0, 1, 1, 0, 1, 1
0.0016262, 0, 0, 0, 1, 1, 1, 1, 1
0.0016397, 0, 0, 1, 1, 1, 1, 1, 1
0.0016566, 0, 0, 1, 1, 1, 0, 1, 1
0.0016704, 0, 0, 0, 1, 1, 0, 1, 1
0.0016872, 0, 0, 0, 1, 1, 1, 1, 1
0.0017010, 0, 0, 1, 1, 1, 1, 1, 1
0.0017177, 0, 0, 1, 1, 1, 0, 1, 1
0.0017317, 0, 0, 0, 1, 1, 0, 1, 1
0.0017483, 0, 0, 0, 1, 1, 1, 1, 1
0.0017624, 0, 0, 1, 1, 1, 1, 1, 1
0.0017787, 0, 0, 1, 1, 1, 0, 1, 1
0.0017931, 0, 0, 0, 1, 1, 0, 1, 1
0.0018093, 0, 0, 0, 1, 1, 1, 1, 1
0.0018228, 0, 0, 1, 1, 1, 1, 1, 1
0.0018398, 0, 0, 1, 1, 1, 0, 1, 1
0.0018532, 0, 0, 0, 1, 1, 0, 1, 1
0.0018704, 0, 0, 0, 1, 1, 1, 1, 1
0.0018837, 0, 0, 1, 1, 1, 1, 1, 1
0.0019008, 0, 0, 1, 1, 1, 0, 1, 1
0.0019143, 0, 0, 0, 1, 1, 0, 1, 1
0.0019314, 0, 0, 0, 1, 1, 1, 1, 1
0.0019448, 0, 0, 1, 1, 1, 1, 1, 1
0.0019618, 0, 0, 1, 1, 1, 0, 1, 1
0.0019753, 0, 0, 0, 1, 1, 0, 1, 1
0.0019924, 0, 0, 0, 1, 1, 1, 1, 1
0.0020058, 0, 0, 1, 1, 1, 1, 1, 1
0.0020229, 0, 0, 1, 1, 1, 0, 1, 1
0.0020363, 0, 0, 0, 1, 1, 0, 1, 1
0.0020535, 0, 0, 0, 1, 1, 1, 1, 1
0.0020668, 0, 0, 1, 1, 1, 1, 1, 1
0.0020839, 0, 0, 1, 1, 1, 0, 1, 1
0.0020973, 0, 0, 0, 1, 1, 0, 1, 1
0.0021145, 0, 0, 0, 1, 1, 1, 1, 1
0.0021280, 0, 0, 1, 1, 1, 1, 1, 1
0.0021450, 0, 0, 1, 1, 1, 0, 1, 1
0.0021587, 0, 0, 0, 1, 1, 0, 1, 1
0.0021756, 0, 0, 0, 1, 1, 1, 1, 1
0.0021888, 0, 0, 1, 1, 1, 1, 1, 1
0.0022060, 0, 0, 1, 1, 1, 0, 1, 1
0.0022193, 0, 0, 0, 1, 1, 0, 1, 1
0.0022366, 0, 0, 0, 1, 1, 1, 1, 1
0.0022498, 0, 0, 1, 1, 1, 1, 1, 1
0.0022670, 0, 0, 1, 1, 1, 0, 1, 1
0.0022803, 0, 0, 0, 1, 1, 0, 1, 1
0.0022976, 0, 0, 0, 1, 1, 1, 1, 1
0.0023110, 0, 0, 1, 1, 1, 1, 1, 1
0.0023281, 0, 0, 1, 1, 1, 0, 1, 1
0.0023417, 0, 0, 0, 1, 1, 0, 1, 1
0.0023587, 0, 0, 0, 1, 1, 1, 1, 1
0.0023724, 0, 0, 1, 1, 1, 1, 1, 1
0.0023891, 0, 0, 1, 1, 1, 0, 1, 1
0.0024031, 0, 0, 0, 1, 1, 0, 1, 1
0.0024197, 0, 0, 0, 1, 1, 1, 1, 1
0.0024328, 0, 0, 1, 1, 1, 1, 1, 1
0.0024501, 0, 0, 1, 1, 1, 0, 1, 1
0.0024634, 0, 0, 0, 1, 1, 0, 1, 1
0.0024808, 0, 0, 0, 1, 1, 1, 1, 1
0.0024938, 0, 0, 1, 1, 1, 1, 1, 1
0.0025112, 0, 0, 1, 1, 1, 0, 1, 1
0.0025243, 0, 0, 0, 1, 1, 0, 1, 1
0.0025418, 0, 0, 0, 1, 1, 1, 1, 1
0.0025548, 0, 0, 1, 1, 1, 1, 1, 1
0.0025722, 0, 0, 1, 1, 1, 0, 1, 1
0.0025853, 0, 0, 0, 1, 1, 0, 1, 1
0.0026028, 0, 0, 0, 1, 1, 1, 1, 1
0.0026159, 0, 0, 1, 1, 1, 1, 1, 1
0.0026333, 0, 0, 1, 1, 1, 0, 1, 1
0.0026463, 0, 0, 0, 1, 1, 0, 1, 1
0.0026639, 0, 0, 0, 1, 1, 1, 1, 1
0.0026768, 0, 0, 1, 1, 1, 1, 1, 1
0.0026943, 0, 0, 1, 1, 1, 0, 1, 1
0.0027073, 0, 0, 0, 1, 1, 0, 1, 1
0.0027249, 0, 0, 0, 1, 1, 1, 1, 1
0.0027378, 0, 0, 1, 1, 1, 1, 1, 1
0.0027553, 0, 0, 1, 1, 1, 0, 1, 1
0.0027683, 0, 0, 0, 1, 1, 0, 1, 1
0.0027860, 0, 0, 0, 1, 1, 1, 1, 1
0.0027988, 0, 0, 1, 1, 1, 1, 1, 1
0.0028164, 0, 0, 1, 1, 1, 0, 1, 1
0.0028293, 0, 0, 0, 1, 1, 0, 1, 1
0.0028452, 0, 0, 0, 0, 1, 0, 1, 1
0.0028470, 0, 0, 0, 0, 1, 1, 1, 1
0.0028601, 0, 0, 1, 0, 1, 1, 1, 1
0.0028609, 0, 0, 1, 1, 1, 1, 1, 1
0.0028757, 0, 0, 1, 0, 1, 1, 1, 1
0.0028774, 0, 0, 1, 0, 1, 0, 1, 1
0.0028904, 0, 0, 0, 0, 1, 0, 1, 1
0.0028911, 0, 0, 0, 1, 1, 0, 1, 1
0.0029062, 0, 0, 0, 0, 1, 0, 1, 1
0.0029080, 0, 0, 0, 0, 1, 1, 1, 1
0.0029209, 0, 0, 1, 0, 1, 1, 1, 1
0.0029216, 0, 0, 1, 1, 1, 1, 1, 1
0.0029229, 0, 0, 1, 1, 0, 1, 1, 1
0.0029374, 0, 0, 1, 0, 0, 1, 1, 1
0.0029385, 0, 0, 1, 0, 0, 0, 1, 1
0.0029515, 0, 0, 0, 0, 0, 0, 1, 1
0.0029522, 0, 0, 0, 1, 0, 0, 1, 1
0.0029672, 0, 0, 0, 0, 0, 0, 1, 1
0.0029691, 0, 0, 0, 0, 0, 1, 1, 1
0.0029822, 0, 0, 1, 0, 0, 1, 1, 1
0.0029829, 0, 0, 1, 1, 0, 1, 1, 1
0.0029977, 0, 0, 1, 0, 0, 1, 1, 1
