Time[s], Channel 0, Channel 1, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0035364, 0, 1, 1, 1, 0, 1, 1
0.0035670, 0, 1, 1, 1, 1, 1, 1
0.0035975, 0, 1, 1, 1, 0, 1, 1
0.0036281, 0, 1, 1, 1, 1, 1, 1
0.0036585, 0, 1, 1, 1, 0, 1, 1
0.0036891, 0, 1, 1, 1, 1, 1, 1
0.0037195, 0, 1, 1, 1, 0, 1, 1
0.0037502, 0, 1, 1, 1, 1, 1, 1
0.0037806, 0, 1, 1, 1, 0, 1, 1
0.0038112, 0, 1, 1, 1, 1, 1, 1
0.0038416, 0, 1, 1, 1, 0, 1, 1
0.0038722, 0, 1, 1, 1, 1, 1, 1
0.0039027, 0, 1, 1, 1, 0, 1, 1
0.0039333, 0, 1, 1, 1, 1, 1, 1
0.0039637, 0, 1, 1, 1, 0, 1, 1
0.0039943, 0, 1, 1, 1, 1, 1, 1
0.0040247, 0, 1, 1, 1, 0, 1, 1
0.0040554, 0, 1, 1, 1, 1, 1, 1
0.0040858, 0, 1, 1, 1, 0, 1, 1
0.0041164, 0, 1, 1, 1, 1, 1, 1
0.0041468, 0, 1, 1, 1, 0, 1, 1
0.0041774, 0, 1, 1, 1, 1, 1, 1
0.0042079, 0, 1, 1, 1, 0, 1, 1
0.0042385, 0, 1, 1, 1, 1, 1, 1
0.0042689, 0, 1, 1, 1, 0, 1, 1
0.0042995, 0, 1, 1, 1, 1, 1, 1
0.0043299, 0, 1, 1, 1, 0, 1, 1
0.0043606, 0, 1, 1, 1, 1, 1, 1
0.0043910, 0, 1, 1, 1, 0, 1, 1
0.0044216, 0, 1, 1, 1, 1, 1, 1
0.0044520, 0, 1, 1, 1, 0, 1, 1
0.0044826, 0, 1, 1, 1, 1, 1, 1
0.0045131, 0, 1, 1, 1, 0, 1, 1
0.0045437, 0, 1, 1, 1, 1, 1, 1
0.0045741, 0, 1, 1, 1, 0, 1, 1
0.0046047, 0, 1, 1, 1, 1, 1, 1
0.0046351, 0, 1, 1, 1, 0, 1, 1
0.0046658, 0, 1, 1, 1, 1, 1, 1
0.0046962, 0, 1, 1, 1, 0, 1, 1
0.0047268, 0, 1, 1, 1, 1, 1, 1
0.0047572, 0, 1, 1, 1, 0, 1, 1
0.0047878, 0, 1, 1, 1, 1, 1, 1
0.0048183, 0, 1, 1, 1, 0, 1, 1
0.0048489, 0, 1, 1, 1, 1, 1, 1
0.0048793, 0, 1, 1, 1, 0, 1, 1
0.0049099, 0, 1, 1, 1, 1, 1, 1
0.0049403, 0, 1, 1, 1, 0, 1, 1
0.0049709, 0, 1, 1, 1, 1, 1, 1
0.0050014, 0, 1, 1, 1, 0, 1, 1
0.0050320, 0, 1, 1, 1, 1, 1, 1
0.0050624, 0, 1, 1, 1, 0, 1, 1
0.0050930, 0, 1, 1, 1, 1, 1, 1
0.0051234, 0, 1, 1, 1, 0, 1, 1
0.0051541, 0, 1, 1, 1, 1, 1, 1
0.0051845, 0, 1, 1, 1, 0, 1, 1
0.0052151, 0, 1, 1, 1, 1, 1, 1
0.0052455, 0, 1, 1, 1, 0, 1, 1
0.0052761, 0, 1, 1, 1, 1, 1, 1
0.0053066, 0, 1, 1, 1, 0, 1, 1
0.0053372, 0, 1, 1, 1, 1, 1, 1
0.0053676, 0, 1, 1, 1, 0, 1, 1
0.0053982, 0, 1, 1, 1, 1, 1, 1
0.0054286, 0, 1, 1, 1, 0, 1, 1
0.0054593, 0, 1, 1, 1, 1, 1, 1
0.0054897, 0, 1, 1, 1, 0, 1, 1
0.0055203, 0, 1, 1, 1, 1, 1, 1
0.0055507, 0, 1, 1, 1, 0, 1, 1
0.0055813, 0, 1, 1, 1, 1, 1, 1
0.0056118, 0, 1, 1, 1, 0, 1, 1
0.0056424, 0, 1, 1, 1, 1, 1, 1
0.0056728, 0, 1, 1, 1, 0, 1, 1
0.0057034, 0, 1, 1, 1, 1, 1, 1
0.0057338, 0, 1, 1, 1, 0, 1, 1
0.0057645, 0, 1, 1, 1, 1, 1, 1
0.0057949, 0, 1, 1, 1, 0, 1, 1
0.0058255, 0, 1, 1, 1, 1, 1, 1
0.0058559, 0, 1, 1, 1, 0, 1, 1
0.0058865, 0, 1, 1, 1, 1, 1, 1
0.0059170, 0, 1, 1, 1, 0, 1, 1
0.0059476, 0, 1, 1, 1, 1, 1, 1
0.0059780, 0, 1, 1, 1, 0, 1, 1
0.0060086, 0, 1, 1, 1, 1, 1, 1
0.0060390, 0, 1, 1, 1, 0, 1, 1
0.0060697, 0, 1, 1, 1, 1, 1, 1
0.0061001, 0, 1, 1, 1, 0, 1, 1
0.0061307, 0, 1, 1, 1, 1, 1, 1
0.0061611, 0, 1, 1, 1, 0, 1, 1
0.0061917, 0, 1, 1, 1, 1, 1, 1
0.0062222, 0, 1, 1, 1, 0, 1, 1
0.0062528, 0, 1, 1, 1, 1, 1, 1
0.0062832, 0, 1, 1, 1, 0, 1, 1
0.0063138, 0, 1, 1, 1, 1, 1, 1
0.0063442, 0, 1, 1, 1, 0, 1, 1
0.0063749, 0, 1, 1, 1, 1, 1, 1
0.0064053, 0, 1, 1, 1, 0, 1, 1
0.0064359, 0, 1, 1, 1, 1, 1, 1
0.0064663, 0, 1, 1, 1, 0, 1, 1
0.0064969, 0, 1, 1, 1, 1, 1, 1
0.0065274, 0, 1, 1, 1, 0, 1, 1
0.0065580, 0, 1, 1, 1, 1, 1, 1
0.0065884, 0, 1, 1, 1, 0, 1, 1
0.0066190, 0, 1, 1, 1, 1, 1, 1
0.0066494, 0, 1, 1, 1, 0, 1, 1
0.0066801, 0, 1, 1, 1, 1, 1, 1
0.0067105, 0, 1, 1, 1, 0, 1, 1
0.0067411, 0, 1, 1, 1, 1, 1, 1
0.0067715, 0, 1, 1, 1, 0, 1, 1
0.0068021, 0, 1, 1, 1, 1, 1, 1
0.0068326, 0, 1, 1, 1, 0, 1, 1
0.0068632, 0, 1, 1, 1, 1, 1, 1
0.0068936, 0, 1, 1, 1, 0, 1, 1
0.0069242, 0, 1, 1, 1, 1, 1, 1
0.0069546, 0, 1, 1, 1, 0, 1, 1
0.0069853, 0, 1, 1, 1, 1, 1, 1
0.0070157, 0, 1, 1, 1, 0, 1, 1
0.0070463, 0, 1, 1, 1, 1, 1, 1
0.0070767, 0, 1, 1, 1, 0, 1, 1
0.0071073, 0, 1, 1, 1, 1, 1, 1
0.0071378, 0, 1, 1, 1, 0, 1, 1
0.0071684, 0, 1, 1, 1, 1, 1, 1
0.0071988, 0, 1, 1, 1, 0, 1, 1
0.0072294, 0, 1, 1, 1, 1, 1, 1
0.0072598, 0, 1, 1, 1, 0, 1, 1
0.0072904, 0, 1, 1, 1, 1, 1, 1
0.0073209, 0, 1, 1, 1, 0, 1, 1
0.0073515, 0, 1, 1, 1, 1, 1, 1
0.0073819, 0, 1, 1, 1, 0, 1, 1
0.0074125, 0, 1, 1, 1, 1, 1, 1
0.0074429, 0, 1, 1, 1, 0, 1, 1
0.0074736, 0, 1, 1, 1, 1, 1, 1
0.0075040, 0, 1, 1, 1, 0, 1, 1
0.0075346, 0, 1, 1, 1, 1, 1, 1
0.0075650, 0, 1, 1, 1, 0, 1, 1
0.0075956, 0, 1, 1, 1, 1, 1, 1
0.0076261, 0, 1, 1, 1, 0, 1, 1
0.0076567, 0, 1, 1, 1, 1, 1, 1
0.0076871, 0, 1, 1, 1, 0, 1, 1
0.0077177, 0, 1, 1, 1, 1, 1, 1
0.0077481, 0, 1, 1, 1, 0, 1, 1
0.0077788, 0, 1, 1, 1, 1, 1, 1
0.0078092, 0, 1, 1, 1, 0, 1, 1
0.0078398, 0, 1, 1, 1, 1, 1, 1
0.0078702, 0, 1, 1, 1, 0, 1, 1
0.0079008, 0, 1, 1, 1, 1, 1, 1
0.0079313, 0, 1, 1, 1, 0, 1, 1
0.0079619, 0, 1, 1, 1, 1, 1, 1
0.0079923, 0, 1, 1, 1, 0, 1, 1
0.0080229, 0, 1, 1, 1, 1, 1, 1
0.0080533, 0, 1, 1, 1, 0, 1, 1
0.0080840, 0, 1, 1, 1, 1, 1, 1
0.0081144, 0, 1, 1, 1, 0, 1, 1
0.0081450, 0, 1, 1, 1, 1, 1, 1
0.0081754, 0, 1, 1, 1, 0, 1, 1
0.0082060, 0, 1, 1, 1, 1, 1, 1
0.0082365, 0, 1, 1, 1, 0, 1, 1
0.0082671, 0, 1, 1, 1, 1, 1, 1
0.0082975, 0, 1, 1, 1, 0, 1, 1
0.0083281, 0, 1, 1, 1, 1, 1, 1
0.0083585, 0, 1, 1, 1, 0, 1, 1
0.0083892, 0, 1, 1, 1, 1, 1, 1
0.0084196, 0, 1, 1, 1, 0, 1, 1
0.0084502, 0, 1, 1, 1, 1, 1, 1
0.0084806, 0, 1, 1, 1, 0, 1, 1
0.0085112, 0, 1, 1, 1, 1, 1, 1
0.0085417, 0, 1, 1, 1, 0, 1, 1
0.0085723, 0, 1, 1, 1, 1, 1, 1
0.0086027, 0, 1, 1, 1, 0, 1, 1
0.0086333, 0, 1, 1, 1, 1, 1, 1
0.0086637, 0, 1, 1, 1, 0, 1, 1
0.0086944, 0, 1, 1, 1, 1, 1, 1
0.0087248, 0, 1, 1, 1, 0, 1, 1
0.0087554, 0, 1, 1, 1, 1, 1, 1
0.0087858, 0, 1, 1, 1, 0, 1, 1
0.0088164, 0, 1, 1, 1, 1, 1, 1
0.0088469, 0, 1, 1, 1, 0, 1, 1
0.0088775, 0, 1, 1, 1, 1, 1, 1
0.0089079, 0, 1, 1, 1, 0, 1, 1
0.0089385, 0, 1, 1, 1, 1, 1, 1
0.0089689, 0, 1, 1, 1, 0, 1, 1
0.0089996, 0, 1, 1, 1, 1, 1, 1
0.0090300, 0, 1, 1, 1, 0, 1, 1
0.0090606, 0, 1, 1, 1, 1, 1, 1
0.0090910, 0, 1, 1, 1, 0, 1, 1
0.0091216, 0, 1, 1, 1, 1, 1, 1
0.0091521, 0, 1, 1, 1, 0, 1, 1
0.0091827, 0, 1, 1, 1, 1, 1, 1
0.0092131, 0, 1, 1, 1, 0, 1, 1
0.0092437, 0, 1, 1, 1, 1, 1, 1
0.0092741, 0, 1, 1, 1, 0, 1, 1
0.0093047, 0, 1, 1, 1, 1, 1, 1
0.0093352, 0, 1, 1, 1, 0, 1, 1
0.0093658, 0, 1, 1, 1, 1, 1, 1
0.0093962, 0, 1, 1, 1, 0, 1, 1
0.0094268, 0, 1, 1, 1, 1, 1, 1
0.0094572, 0, 1, 1, 1, 0, 1, 1
0.0094879, 0, 1, 1, 1, 1, 1, 1
0.0095183, 0, 1, 1, 1, 0, 1, 1
0.0095489, 0, 1, 1, 1, 1, 1, 1
0.0095793, 0, 1, 1, 1, 0, 1, 1
0.0096099, 0, 1, 1, 1, 1, 1, 1
0.0096404, 0, 1, 1, 1, 0, 1, 1
0.0096710, 0, 1, 1, 1, 1, 1, 1
0.0097014, 0, 1, 1, 1, 0, 1, 1
0.0097320, 0, 1, 1, 1, 1, 1, 1
0.0097624, 0, 1, 1, 1, 0, 1, 1
0.0097931, 0, 1, 1, 1, 1, 1, 1
0.0098235, 0, 1, 1, 1, 0, 1, 1
0.0098541, 0, 1, 1, 1, 1, 1, 1
0.0098845, 0, 1, 1, 1, 0, 1, 1
0.0099151, 0, 1, 1, 1, 1, 1, 1
0.0099456, 0, 1, 1, 1, 0, 1, 1
0.0099762, 0, 1, 1, 1, 1, 1, 1
0.0100066, 0, 1, 1, 1, 0, 1, 1
0.0100372, 0, 1, 1, 1, 1, 1, 1
0.0100676, 0, 1, 1, 1, 0, 1, 1
0.0100983, 0, 1, 1, 1, 1, 1, 1
0.0101287, 0, 1, 1, 1, 0, 1, 1
0.0101593, 0, 1, 1, 1, 1, 1, 1
0.0101897, 0, 1, 1, 1, 0, 1, 1
0.0102203, 0, 1, 1, 1, 1, 1, 1
0.0102508, 0, 1, 1, 1, 0, 1, 1
0.0102814, 0, 1, 1, 1, 1, 1, 1
0.0103118, 0, 1, 1, 1, 0, 1, 1
0.0103424, 0, 1, 1, 1, 1, 1, 1
0.0103728, 0, 1, 1, 1, 0, 1, 1
0.0104035, 0, 1, 1, 1, 1, 1, 1
0.0104339, 0, 1, 1, 1, 0, 1, 1
0.0104645, 0, 1, 1, 1, 1, 1, 1
0.0104949, 0, 1, 1, 1, 0, 1, 1
0.0105255, 0, 1, 1, 1, 1, 1, 1
0.0105560, 0, 1, 1, 1, 0, 1, 1
0.0105866, 0, 1, 1, 1, 1, 1, 1
0.0106170, 0, 1, 1, 1, 0, 1, 1
0.0106476, 0, 1, 1, 1, 1, 1, 1
0.0106780, 0, 1, 1, 1, 0, 1, 1
0.0107087, 0, 1, 1, 1, 1, 1, 1
0.0107391, 0, 1, 1, 1, 0, 1, 1
0.0107697, 0, 1, 1, 1, 1, 1, 1
0.0108001, 0, 1, 1, 1, 0, 1, 1
0.0108307, 0, 1, 1, 1, 1, 1, 1
0.0108612, 0, 1, 1, 1, 0, 1, 1
0.0108918, 0, 1, 1, 1, 1, 1, 1
0.0109222, 0, 1, 1, 1, 0, 1, 1
0.0109528, 0, 1, 1, 1, 1, 1, 1
0.0109832, 0, 1, 1, 1, 0, 1, 1
0.0110139, 0, 1, 1, 1, 1, 1, 1
0.0110443, 0, 1, 1, 1, 0, 1, 1
0.0110749, 0, 1, 1, 1, 1, 1, 1
0.0111053, 0, 1, 1, 1, 0, 1, 1
0.0111359, 0, 1, 1, 1, 1, 1, 1
0.0111664, 0, 1, 1, 1, 0, 1, 1
0.0111970, 0, 1, 1, 1, 1, 1, 1
0.0112274, 0, 1, 1, 1, 0, 1, 1
0.0112580, 0, 1, 1, 1, 1, 1, 1
0.0112884, 0, 1, 1, 1, 0, 1, 1
0.0113190, 0, 1, 1, 1, 1, 1, 1
0.0113495, 0, 1, 1, 1, 0, 1, 1
0.0113801, 0, 1, 1, 1, 1, 1, 1
0.0114105, 0, 1, 1, 1, 0, 1, 1
0.0114411, 0, 1, 1, 1, 1, 1, 1
0.0114715, 0, 1, 1, 1, 0, 1, 1
0.0115022, 0, 1, 1, 1, 1, 1, 1
0.0115326, 0, 1, 1, 1, 0, 1, 1
0.0115632, 0, 1, 1, 1, 1, 1, 1
0.0115936, 0, 1, 1, 1, 0, 1, 1
0.0116242, 0, 1, 1, 1, 1, 1, 1
0.0116547, 0, 1, 1, 1, 0, 1, 1
0.0116853, 0, 1, 1, 1, 1, 1, 1
0.0117157, 0, 1, 1, 1, 0, 1, 1
0.0117463, 0, 1, 1, 1, 1, 1, 1
0.0117767, 0, 1, 1, 1, 0, 1, 1
0.0118074, 0, 1, 1, 1, 1, 1, 1
0.0118378, 0, 1, 1, 1, 0, 1, 1
0.0118684, 0, 1, 1, 1, 1, 1, 1
0.0118988, 0, 1, 1, 1, 0, 1, 1
0.0119294, 0, 1, 1, 1, 1, 1, 1
0.0119599, 0, 1, 1, 1, 0, 1, 1
0.0119905, 0, 1, 1, 1, 1, 1, 1
0.0120209, 0, 1, 1, 1, 0, 1, 1
0.0120515, 0, 1, 1, 1, 1, 1, 1
0.0120819, 0, 1, 1, 1, 0, 1, 1
0.0121126, 0, 1, 1, 1, 1, 1, 1
0.0121430, 0, 1, 1, 1, 0, 1, 1
0.0121736, 0, 1, 1, 1, 1, 1, 1
0.0122040, 0, 1, 1, 1, 0, 1, 1
0.0122346, 0, 1, 1, 1, 1, 1, 1
0.0122651, 0, 1, 1, 1, 0, 1, 1
0.0122957, 0, 1, 1, 1, 1, 1, 1
0.0123261, 0, 1, 1, 1, 0, 1, 1
0.0123567, 0, 1, 1, 1, 1, 1, 1
0.0123871, 0, 1, 1, 1, 0, 1, 1
0.0124178, 0, 1, 1, 1, 1, 1, 1
0.0124482, 0, 1, 1, 1, 0, 1, 1
0.0124788, 0, 1, 1, 1, 1, 1, 1
0.0125092, 0, 1, 1, 1, 0, 1, 1
0.0125398, 0, 1, 1, 1, 1, 1, 1
0.0125703, 0, 1, 1, 1, 0, 1, 1
0.0126009, 0, 1, 1, 1, 1, 1, 1
0.0126313, 0, 1, 1, 1, 0, 1, 1
0.0126619, 0, 1, 1, 1, 1, 1, 1
0.0126923, 0, 1, 1, 1, 0, 1, 1
0.0127230, 0, 1, 1, 1, 1, 1, 1
0.0127534, 0, 1, 1, 1, 0, 1, 1
0.0127840, 0, 1, 1, 1, 1, 1, 1
0.0128144, 0, 1, 1, 1, 0, 1, 1
0.0128450, 0, 1, 1, 1, 1, 1, 1
0.0128755, 0, 1, 1, 1, 0, 1, 1
0.0129061, 0, 1, 1, 1, 1, 1, 1
0.0129365, 0, 1, 1, 1, 0, 1, 1
0.0129671, 0, 1, 1, 1, 1, 1, 1
0.0129975, 0, 1, 1, 1, 0, 1, 1
0.0130282, 0, 1, 1, 1, 1, 1, 1
0.0130586, 0, 1, 1, 1, 0, 1, 1
0.0130892, 0, 1, 1, 1, 1, 1, 1
0.0131196, 0, 1, 1, 1, 0, 1, 1
0.0131502, 0, 1, 1, 1, 1, 1, 1
0.0131807, 0, 1, 1, 1, 0, 1, 1
0.0132113, 0, 1, 1, 1, 1, 1, 1
0.0132417, 0, 1, 1, 1, 0, 1, 1
0.0132723, 0, 1, 1, 1, 1, 1, 1
0.0133027, 0, 1, 1, 1, 0, 1, 1
0.0133333, 0, 1, 1, 1, 1, 1, 1
0.0133638, 0, 1, 1, 1, 0, 1, 1
0.0133944, 0, 1, 1, 1, 1, 1, 1
0.0134248, 0, 1, 1, 1, 0, 1, 1
0.0134554, 0, 1, 1, 1, 1, 1, 1
0.0134858, 0, 1, 1, 1, 0, 1, 1
0.0135165, 0, 1, 1, 1, 1, 1, 1
0.0135469, 0, 1, 1, 1, 0, 1, 1
0.0135775, 0, 1, 1, 1, 1, 1, 1
0.0136079, 0, 1, 1, 1, 0, 1, 1
0.0136385, 0, 1, 1, 1, 1, 1, 1
0.0136690, 0, 1, 1, 1, 0, 1, 1
0.0136996, 0, 1, 1, 1, 1, 1, 1
0.0137300, 0, 1, 1, 1, 0, 1, 1
0.0137606, 0, 1, 1, 1, 1, 1, 1
0.0137910, 0, 1, 1, 1, 0, 1, 1
0.0138217, 0, 1, 1, 1, 1, 1, 1
0.0138521, 0, 1, 1, 1, 0, 1, 1
0.0138827, 0, 1, 1, 1, 1, 1, 1
0.0139131, 0, 1, 1, 1, 0, 1, 1
0.0139437, 0, 1, 1, 1, 1, 1, 1
0.0139742, 0, 1, 1, 1, 0, 1, 1
0.0140048, 0, 1, 1, 1, 1, 1, 1
0.0140352, 0, 1, 1, 1, 0, 1, 1
0.0140658, 0, 1, 1, 1, 1, 1, 1
0.0140962, 0, 1, 1, 1, 0, 1, 1
0.0141269, 0, 1, 1, 1, 1, 1, 1
0.0141573, 0, 1, 1, 1, 0, 1, 1
0.0141879, 0, 1, 1, 1, 1, 1, 1
0.0142183, 0, 1, 1, 1, 0, 1, 1
0.0142489, 0, 1, 1, 1, 1, 1, 1
0.0142794, 0, 1, 1, 1, 0, 1, 1
0.0143100, 0, 1, 1, 1, 1, 1, 1
0.0143404, 0, 1, 1, 1, 0, 1, 1
0.0143710, 0, 1, 1, 1, 1, 1, 1
0.0144014, 0, 1, 1, 1, 0, 1, 1
0.0144321, 0, 1, 1, 1, 1, 1, 1
